"","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","C1.max.eigen","feas.3sp","steady.3sp","species","mut.suc","p.try","sim.number","sequence"
"84",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,84
"85",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,85
"86",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,86
"87",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,87
"88",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,88
"89",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,89
"90",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,90
"91",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,91
"92",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,92
"93",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,93
"94",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,94
"95",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,95
"96",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,96
"97",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,97
"98",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,98
"99",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,99
"100",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,100
