"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"69",0.60215,1.78535,1.92845,1.00505,1.28915,1.67315,3.4349,4.6517,0.8702,0.83916,0.76084,0.8338,0.40995,0.18575,0.29295,0.32075,1.62061,2.60809,3.21571,3.60259,0.65539,0.10999,0.14315,0.14081,NA,NA,NA,NA,0
"70",0.78335,1.41215,1.63865,1.61225,1.08905,0.80525,4.4699,2.4875,0.87396,0.75756,0.71292,0.875,0.56635,0.30805,0.35765,0.36905,3.50275,1.65103,2.08783,3.24769,0.25093,0.22285,0.46751,0.70241,NA,NA,NA,NA,0
"71",0.70145,0.79085,1.48595,0.71825,1.83305,1.45715,3.9353,3.9491,0.5362,0.70132,0.79556,0.88716,0.57935,0.31395,0.14485,0.31215,1.12531,0.81877,0.46231,2.90137,0.11683,0.82837,0.64067,0.26951,0.000589147311229947,0.00101921382951114,2.01433446306846,4.87802218335735e-246,0
"72",1.54835,1.09985,0.65015,1.85315,1.19885,1.44935,2.9975,2.2823,0.76228,0.83836,0.80164,0.64892,0.43305,0.13435,0.56825,0.32035,2.55739,1.32655,0.13627,2.07301,0.76807,0.82693,0.80627,0.64373,0.423170263750235,1.2312828818787,0.931295587130314,0.286985320919943,1
"73",1.66745,1.54085,1.11575,1.30445,0.68225,1.72205,2.2955,4.7537,0.58708,0.83772,0.84932,0.84468,0.26055,0.23985,0.36285,0.38605,3.67591,0.17449,0.14563,0.17605,0.96787,0.85159,0.92345,0.84389,0.945452417041835,4.73189701936033,0.262170258440274,3.47776909149575e-10,1
"74",1.26425,1.23365,1.42835,1.49795,1.61525,0.71255,4.6811,2.9705,0.77164,0.63612,0.64748,0.8678,0.34335,0.16385,0.31245,0.23245,2.84911,2.85925,3.57061,0.27589,0.10621,0.88183,0.84767,0.57497,NA,NA,NA,NA,0
"75",1.93565,1.98155,1.89935,1.86485,0.76895,1.22405,2.4347,2.6675,0.67076,0.75196,0.6214,0.50436,0.54995,0.50245,0.55405,0.28735,1.08943,1.43497,3.96373,1.15105,0.66745,0.38881,0.43439,0.85487,0.634314193689278,0.614359948070054,3.43417181912276e-100,1.32808727888988,1
"76",0.74525,0.63755,1.03295,1.22045,1.66805,0.57215,2.8457,4.0091,0.8822,0.5122,0.827,0.59164,0.42155,0.34995,0.47795,0.42315,1.05823,3.47857,1.58395,1.58941,0.14185,0.67105,0.76991,0.56453,0.168354772668338,0.0614405249546638,1.76634876716627,2.05325192436882e-136,1
"77",1.33565,1.25855,1.48175,1.96295,0.97925,0.72185,3.8303,4.3907,0.53004,0.50532,0.525,0.59732,0.43115,0.50685,0.14155,0.27815,3.44581,1.81093,1.15183,1.82263,0.13051,0.40393,0.83309,0.66119,NA,NA,NA,NA,0
"78",1.79615,1.79915,0.86765,1.57115,0.70625,0.88265,4.0259,3.6215,0.66684,0.82716,0.8202,0.79476,0.18445,0.48515,0.22995,0.49825,2.11591,1.71343,0.97945,2.36317,0.82423,0.22339,0.85991,0.75227,0.0032112998633327,0.000472825927533748,3.01083666009495e-203,3.05726809031768,0
