"","R1_0","R2_0","C1_0","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","steady"
"97",1.9925,1.3325,1.5935,1.4615,1.1705,4.907,4.217,0.6284,0.5716,0.4785,0.1705,3.0133,2.6545,0.7705,0.1715,1.49935703934908,0.370612657931795,1.53463172660514,1
"98",0.9785,1.2425,1.8875,0.9785,1.3475,4.853,2.567,0.7828,0.878,0.2535,0.4715,0.2833,2.8651,0.3547,0.3281,0,0,2.07961545441778,1
"99",1.9745,1.4105,1.4195,1.0175,1.2995,2.021,4.013,0.51,0.598,0.5025,0.1735,1.4923,2.1709,0.2449,0.5459,0,0,5.32171289209043,1
"100",0.7415,1.8125,1.0835,0.5345,1.1165,2.015,3.125,0.7348,0.5268,0.2355,0.1175,2.0227,3.4969,0.1531,0.3173,0,0,8.75898964637769,1
"101",0.6185,1.9835,1.2515,1.6895,1.2845,4.757,3.395,0.8468,0.8396,0.5935,0.3975,2.2099,1.1179,0.1873,0.2039,0,3.39500000005091,0,1
"102",1.9475,0.5435,0.5855,0.8675,0.5525,3.221,4.313,0.8052,0.8356,0.3695,0.3195,2.7169,0.4705,0.4087,0.0941,0,4.31300011969561,0,1
"103",1.2245,0.6875,0.5225,1.0955,0.5495,3.653,4.343,0.8812,0.7924,0.4825,0.5205,0.9307,3.7153,0.6175,0.1895,0,0,0,1
"104",1.1105,0.7115,1.1765,1.5815,1.5125,2.417,2.879,0.606,0.7532,0.5045,0.4875,3.1225,0.9541,0.7273,0.8645,0.974255957942116,0,0.766326673664727,1
"105",0.8345,1.0895,1.1945,1.2305,1.8605,4.181,4.883,0.7244,0.702,0.3445,0.4305,1.5001,0.5485,0.6193,0.3083,4.18100017398089,0,0,1
"106",0.8525,0.5885,1.8005,1.5485,0.5795,2.063,2.435,0.6972,0.5156,0.1475,0.3525,2.6233,1.6405,0.8551,0.9185,0,0,0,1
"107",1.9565,1.7645,1.6685,1.5935,1.0715,2.675,2.015,0.8644,0.834,0.2845,0.1355,2.4361,3.7933,0.8029,0.5603,2.67500000000152,2.01500000097553,0,1
"108",0.6635,0.7805,1.9925,1.2125,1.8695,4.673,2.657,0.7044,0.6892,0.5685,0.1225,0.7435,0.3379,0.8659,0.5027,0,0,0,1
"109",0.7835,1.2785,1.7735,0.7115,1.0325,2.069,4.895,0.5612,0.5044,0.2285,0.2115,3.9961,0.1585,0.7993,0.9041,0.528370787501603,0,0.196543728257391,1
"110",0.5435,0.6725,0.8345,1.3145,0.8195,4.031,3.371,0.8332,0.5164,0.1565,0.3015,3.7153,3.9805,0.7237,0.6431,0.337188481887159,0.346198737547536,0.649264321553649,1
"111",0.5135,1.3415,1.5185,0.5075,1.4375,4.691,4.943,0.638,0.5108,0.4275,0.1585,3.5203,1.9525,0.2845,0.7601,0,0.31288064302486,0.756409096224702,1
"112",1.1555,1.9385,0.6275,1.9085,1.2125,2.411,3.875,0.838,0.8188,0.3605,0.3505,3.3721,0.3457,0.6049,0.3353,0,2.88370681566882,1.21075851162913,1
"113",0.9935,1.7405,0.8495,0.8255,1.5905,2.033,4.769,0.8908,0.8932,0.2425,0.3955,1.9213,0.8215,0.6679,0.8915,2.03300000224826,0,0,1
"114",1.4105,1.5455,1.2065,0.6905,1.7795,3.623,2.129,0.8612,0.6108,0.1125,0.4045,1.1335,2.5765,0.7489,0.7997,0.664759078526145,1.34942999994467,1.14813456563826,1
"115",1.3445,1.2125,0.5975,1.9145,1.0205,4.397,4.649,0.7556,0.6132,0.4685,0.4205,3.7309,1.5391,0.7183,0.4019,0,1.49990096971437,0.885112862818393,1
"116",1.0955,1.7225,1.9505,1.2515,0.6695,4.403,3.221,0.722,0.8036,0.4005,0.1045,1.9135,3.9259,0.7291,0.9365,0.363967911810732,1.03531797149326,0.932193082980225,1
"117",1.9385,1.4585,0.9065,1.6175,0.7625,3.599,2.477,0.7156,0.6348,0.4355,0.3995,2.2411,3.6217,0.7867,0.3515,0,0,2.44779028361956,1
"118",1.1945,0.5615,0.9755,1.6595,0.7985,2.159,4.271,0.706,0.7252,0.4405,0.2785,1.6249,3.3955,0.8389,0.8807,1.53441982060088,0,0.619942704923676,1
"119",1.2545,1.9055,1.0865,1.0235,0.6335,4.493,4.805,0.6196,0.5412,0.1655,0.5965,1.8823,2.2411,0.9559,0.8483,1.53043350438337,2.80644289946208,1.08814231780554,1
"120",1.7825,1.5815,0.6965,1.6835,1.3355,2.513,4.121,0.518,0.6692,0.1725,0.4885,3.5905,0.6109,0.5437,0.7313,2.51300000007301,0,0,1
"121",0.5465,1.3235,1.7075,1.3235,0.9395,4.967,2.651,0.61,0.6124,0.1095,0.4105,0.5563,3.4111,0.5239,0.6269,0,0.386538447458369,0.362603080728026,1
"122",0.7685,1.4345,0.5795,1.6445,1.2755,2.447,4.919,0.5644,0.806,0.5285,0.1105,2.5141,2.4127,0.6355,0.7133,0,0,0.932031877605028,1
"123",1.5725,0.6095,1.7795,0.9185,1.3385,4.787,4.907,0.6516,0.8308,0.5425,0.4995,2.5219,3.3565,0.3277,0.4271,0,0,0,1
"124",0.8405,1.1195,1.1465,0.8765,0.5195,2.093,3.167,0.6348,0.538,0.4015,0.4015,3.8791,2.0227,0.8191,0.3569,1.18588025579502,1.11716522964978,0.595859162101002,1
"125",1.3865,1.9175,0.5885,1.2905,1.4315,3.869,3.851,0.6476,0.5428,0.2065,0.2325,2.5453,2.7481,0.5707,0.0635,0,0,1.43157282799223,1
"126",0.7355,1.3475,1.4855,0.9965,0.5165,3.527,2.861,0.7564,0.6212,0.2165,0.5925,1.1959,3.7387,0.5095,0.4685,3.52700018137404,0,4.56781749671152e-09,1
"127",0.9875,0.8795,0.5915,0.9815,0.6155,2.441,3.275,0.7164,0.6316,0.1005,0.3725,3.2941,0.6577,0.9055,0.9077,0.439537602931147,0,0.279855080669084,1
"128",1.2155,0.9905,1.4825,1.6145,1.8185,4.349,3.317,0.774,0.5996,0.3785,0.5325,2.6311,1.9837,0.1729,0.5819,0,0,1.40921643829264,1
"129",1.3145,1.9415,0.7385,1.9655,1.5965,4.919,3.635,0.6068,0.7972,0.1545,0.5235,1.6327,3.9337,0.8785,0.4703,4.91900000000033,0,4.09003467754223e-14,1
